,Title,Year,Rated,Release Date,Runtime,Genre,Director,Writer,Actors,Plot,imdbRating,imdbVotes,ID,Season,Episode
79,The Justice League Recombination,2010,TV-14,16 Dec 2010,20 min,"Comedy, Romance",Mark Cendrowski,"Chuck Lorre (created by), Bill Prady (created by), Bill Prady (teleplay), Steven Molaro (teleplay), Steve Holland (teleplay), Chuck Lorre (story), Lee Aronsohn (story), Maria Ferrari (story)","Johnny Galecki, Jim Parsons, Kaley Cuoco, Simon Helberg",The guys enter a costume contest as members of the Justice League and convince Penny and Zack to join them.,8.8,2226,tt1632226,4,11
99,The Good Guy Fluctuation,2011,TV-14,27 Oct 2011,20 min,"Comedy, Romance",Mark Cendrowski,"Chuck Lorre (created by), Bill Prady (created by), Bill Prady (teleplay), Steven Molaro (teleplay), Steve Holland (teleplay), Chuck Lorre (story), David Goetsch (story), Maria Ferrari (story)","Johnny Galecki, Jim Parsons, Kaley Cuoco, Simon Helberg",Sheldon tries to get into the spirit of Halloween by trying to scare the guys after they prank him. Leonard seeks Penny's advice when an attractive comic book artist takes an interest in him.,8.7,2438,tt2082016,5,7
18,The Tangerine Factor,2008,TV-14,19 May 2008,20 min,"Comedy, Romance",Mark Cendrowski,"Chuck Lorre (created by), Bill Prady (created by), Lee Aronsohn (teleplay), Steven Molaro (teleplay), Chuck Lorre (story), Bill Prady (story)","Johnny Galecki, Jim Parsons, Kaley Cuoco, Simon Helberg","After a bad breakup, Penny finally agrees to go out on a date with Leonard, however they both develop doubts and turn to Sheldon for advice.",8.7,2420,tt1127908,1,17
113,The Hawking Excitation,2012,TV-14,05 Apr 2012,19 min,"Comedy, Romance",Mark Cendrowski,"Chuck Lorre (created by), Bill Prady (created by), Chuck Lorre (teleplay), Eric Kaplan (teleplay), Maria Ferrari (teleplay), Bill Prady (story), Steven Molaro (story), Steve Holland (story)","Johnny Galecki, Jim Parsons, Kaley Cuoco, Simon Helberg","Sheldon uses any and all means to meet his hero, Dr. Stephen Hawking.",8.7,2227,tt2300453,5,21
41,The Vegas Renormalization,2009,TV-14,27 Apr 2009,21 min,"Comedy, Romance",Mark Cendrowski,"Chuck Lorre (created by), Bill Prady (created by), Steven Molaro (teleplay), Jessica Ambrosetti (story), Nicole Lorre (story), Andy Roth (story)","Johnny Galecki, Jim Parsons, Kaley Cuoco, Simon Helberg","After being dumped by Leslie, Howard heads to Las Vegas with Leonard and Raj. Meanwhile, Penny is forced to take in Sheldon after he locks himself out of his apartment.",8.7,2220,tt1256032,2,21
68,The Lunar Excitation,2010,TV-14,24 May 2010,20 min,"Comedy, Romance",Peter Chakos,"Chuck Lorre (created by), Bill Prady (created by), Lee Aronsohn (teleplay), Steven Molaro (teleplay), Steve Holland (teleplay), Chuck Lorre (story), Bill Prady (story), Maria Ferrari (story), Maria Ferrari (executive story editor)","Johnny Galecki, Jim Parsons, Kaley Cuoco, Simon Helberg","Penny has a night of angry, drunken sex with Leonard, much to his confusion. Meanwhile, Howard and Raj search for Sheldon's perfect match online.",8.7,2091,tt1627740,3,23
92,The Roommate Transmogrification,2011,TV-14,19 May 2011,22 min,"Comedy, Romance",Mark Cendrowski,"Chuck Lorre (created by), Bill Prady (created by), Bill Prady (teleplay), Eric Kaplan (teleplay), Jim Reynolds (teleplay), Chuck Lorre (story), Steven Molaro (story), Eddie Gorodetsky (story)","Johnny Galecki, Jim Parsons, Kaley Cuoco, Simon Helberg",Raj moves in with Sheldon after hearing Leonard and Priya engage in a Star Trek fantasy in his apartment. Bernadette receives her doctorate.,8.7,1966,tt1918407,4,24
7,The Middle Earth Paradigm,2007,TV-14,29 Oct 2007,21 min,"Comedy, Romance",Mark Cendrowski,"Chuck Lorre (created by), Bill Prady (created by), David Litt (teleplay), Robert Cohen (teleplay), David Goetsch (story)","Johnny Galecki, Jim Parsons, Kaley Cuoco, Simon Helberg","The guys are invited to Penny's Halloween party, where Leonard has yet another run-in with Penny's ex-boyfriend Kurt.",8.6,2592,tt1091293,1,6
124,The 43 Peculiarity,2012,TV-PG,15 Nov 2012,21 min,"Comedy, Romance",Mark Cendrowski,"Chuck Lorre (created by), Bill Prady (created by), Steven Molaro (teleplay), Jim Reynolds (teleplay), Steve Holland (teleplay), Chuck Lorre (story), David Goetsch (story), Anthony Del Broccolo (story), Anthony Del Broccolo (story editor)","Johnny Galecki, Jim Parsons, Kaley Cuoco, Simon Helberg","Leonard feels threatened after hearing about Penny's study partner at school, while Howard and Raj become determined to find out one of Sheldon's secrets.",8.6,2162,tt2502436,6,8
59,The Einstein Approximation,2010,TV-14,01 Feb 2010,20 min,"Comedy, Romance",Mark Cendrowski,"Chuck Lorre (created by), Bill Prady (created by), Chuck Lorre (teleplay), Steven Molaro (teleplay), Eric Kaplan (teleplay), Lee Aronsohn (story), David Goetsch (story), Steve Holland (story), Maria Ferrari (executive story editor)","Johnny Galecki, Jim Parsons, Kaley Cuoco, Simon Helberg",Sheldon wreaks havoc when he is stumped by a difficult physics question.,8.6,2156,tt1588684,3,14
128,The Egg Salad Equivalency,2013,TV-14,03 Jan 2013,21 min,"Comedy, Romance",Mark Cendrowski,"Chuck Lorre (created by), Bill Prady (created by), Steven Molaro (teleplay), Bill Prady (teleplay), Steve Holland (teleplay), Chuck Lorre (story), Eric Kaplan (story), Jim Reynolds (story), Anthony Del Broccolo (story editor)","Johnny Galecki, Jim Parsons, Kaley Cuoco, Simon Helberg","When Penny finds out Alex has a crush on Leonard, Sheldon gets himself and the rest of the guys in trouble with Human Resources whilst trying to solve the problem.",8.6,2145,tt2571320,6,12
62,The Precious Fragmentation,2010,TV-14,08 Mar 2010,20 min,"Comedy, Romance",Mark Cendrowski,"Chuck Lorre (created by), Bill Prady (created by), Bill Prady (teleplay), Steven Molaro (teleplay), Richard Rosenstock (teleplay), Lee Aronsohn (story), Eric Kaplan (story), Maria Ferrari (story), Maria Ferrari (executive story editor)","Johnny Galecki, Jim Parsons, Kaley Cuoco, Simon Helberg","The guys' friendship is threatened when they find a ring from the ""Lord of the Rings"" trilogy.",8.6,2124,tt1607974,3,17
116,The Countdown Reflection,2012,TV-14,10 May 2012,21 min,"Comedy, Romance",Mark Cendrowski,"Chuck Lorre (created by), Bill Prady (created by), Chuck Lorre (teleplay), Steven Molaro (teleplay), Jim Reynolds (teleplay), Bill Prady (story), Eric Kaplan (story), Steve Holland (story)","Johnny Galecki, Jim Parsons, Kaley Cuoco, Simon Helberg","As Howard prepares for his mission into space, flashbacks show the recent events leading up to his and Bernadette's wedding.",8.6,2118,tt2379487,5,24
55,The Gorilla Experiment,2009,TV-14,07 Dec 2009,21 min,"Comedy, Romance",Mark Cendrowski,"Chuck Lorre (created by), Bill Prady (created by), Bill Prady (teleplay), Steven Molaro (teleplay), Maria Ferrari (teleplay), Chuck Lorre (story), Richard Rosenstock (story), Steve Holland (story), Maria Ferrari (executive story editor)","Johnny Galecki, Jim Parsons, Kaley Cuoco, Simon Helberg","Sheldon attempts to help Penny understand physics to impress Leonard, while Howard becomes jealous when Bernadette takes an interest in Leonard's research.",8.6,2116,tt1558529,3,10
63,The Pants Alternative,2010,TV-14,22 Mar 2010,21 min,"Comedy, Romance",Mark Cendrowski,"Chuck Lorre (created by), Bill Prady (created by), Eric Kaplan (teleplay), Richard Rosenstock (teleplay), Jim Reynolds (teleplay), Chuck Lorre (story), Bill Prady (story), Steve Holland (story), Maria Ferrari (executive story editor)","Johnny Galecki, Jim Parsons, Kaley Cuoco, Simon Helberg",Sheldon seeks help from the rest of the gang in overcoming his fear of public speaking when he receives an award.,8.6,2083,tt1609715,3,18
77,The Boyfriend Complexity,2010,TV-14,18 Nov 2010,21 min,"Comedy, Romance",Mark Cendrowski,"Chuck Lorre (created by), Bill Prady (created by), Bill Prady (teleplay), Steven Molaro (teleplay), David Goetsch (teleplay), Chuck Lorre (story), Lee Aronsohn (story), Jim Reynolds (story)","Johnny Galecki, Jim Parsons, Kaley Cuoco, Simon Helberg","Penny asks Leonard to pose as her boyfriend when her father visits. Howard, Raj and Bernadette have an awkward encounter when they spend the evening together.",8.6,2034,tt1632246,4,9
238,The Long Distance Dissonance,2017,TV-14,11 May 2017,19 min,"Comedy, Romance",Mark Cendrowski,"Chuck Lorre (created by), Bill Prady (created by), Chuck Lorre (teleplay), Steve Holland (teleplay), Tara Hernandez (teleplay), Steven Molaro (story), Eric Kaplan (story), Jim Reynolds (story)","Johnny Galecki, Jim Parsons, Kaley Cuoco, Simon Helberg","The gang is concerned when Sheldon's former admirer, Dr. Ramona Nowitzki, resurfaces while Amy is away at Princeton.",8.6,1410,tt6706254,10,24
3,The Big Bran Hypothesis,2007,TV-14,01 Oct 2007,21 min,"Comedy, Romance",Mark Cendrowski,"Chuck Lorre (created by), Bill Prady (created by), Robert Cohen (teleplay), David Goetsch (teleplay), Chuck Lorre (story), Bill Prady (story)","Johnny Galecki, Jim Parsons, Kaley Cuoco, Simon Helberg",Penny is furious with Leonard and Sheldon when they sneak into her apartment and clean it while she is sleeping.,8.5,2968,tt1091289,1,2
14,The Bat Jar Conjecture,2008,TV-14,21 Apr 2008,22 min,"Comedy, Romance",Mark Cendrowski,"Chuck Lorre (created by), Bill Prady (created by), Bill Prady (teleplay), Robert Cohen (teleplay), Stephen Engel (story), Jennifer Glickman (story)","Johnny Galecki, Jim Parsons, Kaley Cuoco, Simon Helberg","Sheldon becomes so intent on demonstrating his intellectual superiority over the other guys that they kick him off the Physics Bowl team and replace him with his nemesis, Leslie.",8.5,2324,tt1127387,1,13
17,The Peanut Reaction,2008,TV-14,12 May 2008,20 min,"Comedy, Romance",Mark Cendrowski,"Chuck Lorre (created by), Bill Prady (created by), David Goetsch (teleplay), Steven Molaro (teleplay), Bill Prady (story), Lee Aronsohn (story)","Johnny Galecki, Jim Parsons, Kaley Cuoco, Simon Helberg","When Penny learns that Leonard has never had a birthday party, she and the rest of the guys plan a surprise party for him.",8.5,2291,tt1127907,1,16
46,The Electric Can Opener Fluctuation,2009,TV-14,21 Sep 2009,21 min,"Comedy, Romance",Mark Cendrowski,"Chuck Lorre (created by), Bill Prady (created by), Steven Molaro, Maria Ferrari (executive story editor)","Johnny Galecki, Jim Parsons, Kaley Cuoco, Simon Helberg","After returning from the North Pole, a conflict among the guys sends Sheldon back to Texas and interferes with Leonard's reunion with Penny.",8.5,2262,tt1487706,3,1
25,The Euclid Alternative,2008,TV-14,20 Oct 2008,20 min,"Comedy, Romance",Mark Cendrowski,"Chuck Lorre (created by), Bill Prady (created by), Lee Aronsohn (teleplay), David Goetsch (teleplay), Bill Prady (story), Steven Molaro (story)","Johnny Galecki, Jim Parsons, Kaley Cuoco, Simon Helberg","Sheldon annoys the gang when Leonard can't drive him to and from work, so they try to teach him how to drive.",8.5,2219,tt1256036,2,5
70,The Cruciferous Vegetable Amplification,2010,TV-14,30 Sep 2010,21 min,"Comedy, Romance",Mark Cendrowski,"Chuck Lorre (created by), Bill Prady (created by), Chuck Lorre (teleplay), Steven Molaro (teleplay), Jim Reynolds (teleplay), Bill Prady (story), Lee Aronsohn (story), Steve Holland (story)","Johnny Galecki, Jim Parsons, Kaley Cuoco, Simon Helberg","When Sheldon calculates the technology to download his consciousness into a robot won't be invented soon enough, he desperately tries to find a way to increase his lifespan.",8.5,2150,tt1632235,4,2
129,The Bakersfield Expedition,2013,TV-14,10 Jan 2013,21 min,"Comedy, Romance",Mark Cendrowski,"Chuck Lorre (created by), Bill Prady (created by), Steven Molaro (teleplay), Eric Kaplan (teleplay), Maria Ferrari (teleplay), Chuck Lorre (story), Jim Reynolds (story), Steve Holland (story), Anthony Del Broccolo (story editor)","Johnny Galecki, Jim Parsons, Kaley Cuoco, Simon Helberg","The guys are stranded in the middle of nowhere when Leonard's car is stolen on the way to the Bakersfield Comic-Con. Back home, the girls try to figure out why the guys are so fascinated with comic books.",8.5,2141,tt2582488,6,13
54,The Vengeance Formulation,2009,TV-14,23 Nov 2009,19 min,"Comedy, Romance",Mark Cendrowski,"Chuck Lorre (created by), Bill Prady (created by), Richard Rosenstock (teleplay), Jim Reynolds (teleplay), Steve Holland (teleplay), Chuck Lorre (story), Maria Ferrari (story), Maria Ferrari (executive story editor)","Johnny Galecki, Jim Parsons, Kaley Cuoco, Simon Helberg",Sheldon plans revenge after Kripke humiliates him on the radio. Howard develops doubts about his relationship with Bernadette.,8.5,2089,tt1544819,3,9
57,The Psychic Vortex,2010,NOT RATED,11 Jan 2010,20 min,"Comedy, Romance",Mark Cendrowski,"Chuck Lorre (created by), Bill Prady (created by), Chuck Lorre (teleplay), Eric Kaplan (teleplay), Jim Reynolds (teleplay), Lee Aronsohn (story), Steven Molaro (story), Maria Ferrari (executive story editor)","Johnny Galecki, Jim Parsons, Kaley Cuoco, Simon Helberg",Raj talks Sheldon into being his wingman at a university mixer. Leonard has trouble dealing with Penny consulting a psychic.,8.5,2033,tt1567073,3,12
146,The Romance Resonance,2013,TV-14,24 Oct 2013,21 min,"Comedy, Romance",Mark Cendrowski,"Chuck Lorre (created by), Bill Prady (created by), Steven Molaro (teleplay), Steve Holland (teleplay), Maria Ferrari (teleplay), Eric Kaplan (story), Jim Reynolds (story), Tara Hernandez (story), Anthony Del Broccolo (executive story editor), Tara Hernandez (story editor)","Johnny Galecki, Jim Parsons, Kaley Cuoco, Simon Helberg","The anniversary of Howard and Bernadette's first date is approaching, and Howard wants to do something special and romantic for the occasion, namely write a song for her which he wants to perform for her with the help of their friends. This gesture makes Penny come to the realization that with the exception of having sex with him, she does nothing romantic for Leonard ever, while he does romantic things for her all the time. She tries to come up with her first ever romantic gesture to make Leonard feel good. But what she ends up doing doesn't quite have the effect she wants, while romance has been sitting in her closet all along. Meanwhile, Sheldon has been zoned out of all his friends' goings-on while he works on something. That something ends up being a breakthrough, namely the discovery of how to synthesize a new, stable super heavy element. This discovery takes the scientific world by storm. After receiving all this well deserved attention, Sheldon discovers that the attention is not well deserved as he made an error in his calculation based on misreading a table, meaning that he accidentally stumbled across his discovery rather than came by it from a purely scientific standpoint. Sheldon has to decide if his error will make him feel bad about what he nonetheless accomplished.",8.5,2026,tt3229394,7,6
2,Pilot,2007,TV-14,24 Sep 2007,23 min,"Comedy, Romance",James Burrows,"Chuck Lorre (created by), Bill Prady (created by), Chuck Lorre, Bill Prady","Johnny Galecki, Jim Parsons, Kaley Cuoco, Simon Helberg","A pair of socially awkward theoretical physicists meet their new neighbor Penny, who is their polar opposite.",8.4,3832,tt0775431,1,1
16,The Pork Chop Indeterminacy,2008,TV-14,05 May 2008,22 min,"Comedy, Romance",Mark Cendrowski,"Chuck Lorre (created by), Bill Prady (created by), Lee Aronsohn (teleplay), Bill Prady (teleplay), Chuck Lorre (story)","Johnny Galecki, Jim Parsons, Kaley Cuoco, Simon Helberg","Leonard, Howard and Raj fight over Sheldon's twin sister when she arrives in town. Raj takes part in a drug trial to suppress his selective mutism.",8.4,2455,tt1127906,1,15
9,The Grasshopper Experiment,2007,TV-14,12 Nov 2007,21 min,"Comedy, Romance",Ted Wass,"Chuck Lorre (created by), Bill Prady (created by), Lee Aronsohn (teleplay), Robert Cohen (teleplay), David Goetsch (story), Steven Molaro (story)","Johnny Galecki, Jim Parsons, Kaley Cuoco, Simon Helberg","When Raj's parents set him up on a blind date, he finds he can talk to women with the aid of alcohol.",8.4,2425,tt1127389,1,8
21,The Bad Fish Paradigm,2008,TV-14,22 Sep 2008,22 min,"Comedy, Romance",Mark Cendrowski,"Chuck Lorre (created by), Bill Prady (created by), David Goetsch (teleplay), Steven Molaro (teleplay), Bill Prady (story)","Johnny Galecki, Jim Parsons, Kaley Cuoco, Simon Helberg","Leonard becomes concerned when his date with Penny ends abruptly and she starts blowing him off. When told the truth, Sheldon would rather move out than keep Penny's reasons a secret from Leonard.",8.4,2364,tt1256599,2,1
37,The Terminator Decoupling,2009,TV-14,09 Mar 2009,21 min,"Comedy, Romance",Mark Cendrowski,"Chuck Lorre (created by), Bill Prady (created by), Tim Doyle (teleplay), Stephen Engel (teleplay), Bill Prady (story), David Goetsch (story)","Johnny Galecki, Jim Parsons, Kaley Cuoco, Simon Helberg","On a train to San Francisco, Howard, Raj and Leonard fight for the affections of sci-fi star Summer Glau, while Sheldon is forced to turn to Penny for help when he leaves his flash drive behind.",8.4,2274,tt1256027,2,17
26,The Cooper-Nowitzki Theorem,2008,TV-14,03 Nov 2008,21 min,"Comedy, Romance",Mark Cendrowski,"Chuck Lorre (created by), Bill Prady (created by), Tim Doyle (teleplay), Richard Rosenstock (teleplay), Stephen Engel (story), Daley Haggar (story)","Johnny Galecki, Jim Parsons, Kaley Cuoco, Simon Helberg","Sheldon is flattered when a graduate student takes a shine to him, however her extreme devotion becomes too much to handle.",8.4,2238,tt1256037,2,6
39,The Dead Hooker Juxtaposition,2009,TV-14,30 Mar 2009,21 min,"Comedy, Romance",Mark Cendrowski,"Chuck Lorre (created by), Bill Prady (created by), Steven Molaro","Johnny Galecki, Jim Parsons, Kaley Cuoco, Simon Helberg",Penny becomes jealous when a gorgeous new neighbor attracts the guys' attention.,8.4,2123,tt1256029,2,19
48,The Gothowitz Deviation,2009,TV-14,05 Oct 2009,20 min,"Comedy, Romance",Mark Cendrowski,"Chuck Lorre (created by), Bill Prady (created by), Bill Prady (teleplay), Maria Ferrari (teleplay), Lee Aronsohn (story), Richard Rosenstock (story), Maria Ferrari (executive story editor)","Johnny Galecki, Jim Parsons, Kaley Cuoco, Simon Helberg","Sheldon attempts to covertly alter Penny's habits, while Howard and Raj try their luck meeting women at a Goth-style club.",8.4,2090,tt1494210,3,3
120,The Re-Entry Minimization,2012,TV-PG,18 Oct 2012,21 min,"Comedy, Romance",Mark Cendrowski,"Chuck Lorre (created by), Bill Prady (created by), Chuck Lorre (teleplay), Steven Molaro (teleplay), Eric Kaplan (teleplay), Bill Prady (story), Jim Reynolds (story), Anthony Del Broccolo (story), Anthony Del Broccolo (story editor)","Johnny Galecki, Jim Parsons, Kaley Cuoco, Simon Helberg",Howard is offended when his return from space is met with little fanfare. Penny and Amy take on Sheldon and Leonard during game night.,8.4,2082,tt2411550,6,4
50,The Creepy Candy Coating Corollary,2009,TV-14,19 Oct 2009,20 min,"Comedy, Romance",Mark Cendrowski,"Chuck Lorre (created by), Bill Prady (created by), Lee Aronsohn (teleplay), Steven Molaro (teleplay), Chuck Lorre (story), Bill Prady (story), Maria Ferrari (executive story editor)","Johnny Galecki, Jim Parsons, Kaley Cuoco, Simon Helberg","Leonard is forced to ask Penny to set Howard up with one of her friends, while Sheldon seeks payback against sci-fi star Wil Wheaton.",8.4,2057,tt1528188,3,5
43,The Monopolar Expedition,2009,TV-14,11 May 2009,21 min,"Comedy, Romance",Mark Cendrowski,"Chuck Lorre (created by), Bill Prady (created by), Eric Kaplan, Richard Rosenstock","Johnny Galecki, Jim Parsons, Kaley Cuoco, Simon Helberg",Penny gets upset when she finds out Leonard and the guys plan to work at the North Pole for the summer.,8.4,2049,tt1426233,2,23
125,The Parking Spot Escalation,2012,TV-14,29 Nov 2012,20 min,"Comedy, Romance",Peter Chakos,"Chuck Lorre (created by), Bill Prady (created by), Steven Molaro (teleplay), Steve Holland (teleplay), Maria Ferrari (teleplay), Chuck Lorre (story), Eric Kaplan (story), Adam Faberman (story), Anthony Del Broccolo (story editor)","Johnny Galecki, Jim Parsons, Kaley Cuoco, Simon Helberg",The gang are drawn into a fight between Howard and Sheldon over Sheldon's vacant parking spot at the university.,8.4,2041,tt2505340,6,9
106,The Beta Test Initiation,2012,TV-14,26 Jan 2012,21 min,"Comedy, Romance",Mark Cendrowski,"Chuck Lorre (created by), Bill Prady (created by), Bill Prady (teleplay), David Goetsch (teleplay), Maria Ferrari (teleplay), Chuck Lorre (story), Steven Molaro (story), Eric Kaplan (story)","Johnny Galecki, Jim Parsons, Kaley Cuoco, Simon Helberg",Leonard and Penny develop a system to ensure their dates go smoothly. Raj finally finds a woman he can talk to - the virtual assistant on his mobile phone.,8.4,2030,tt2181587,5,14
56,The Maternal Congruence,2009,TV-14,14 Dec 2009,20 min,"Comedy, Romance",Mark Cendrowski,"Chuck Lorre (created by), Bill Prady (created by), Chuck Lorre (teleplay), Bill Prady (teleplay), David Goetsch (teleplay), Lee Aronsohn (story), Steven Molaro (story), Richard Rosenstock (story), Maria Ferrari (story), Maria Ferrari (executive story editor)","Johnny Galecki, Jim Parsons, Kaley Cuoco, Simon Helberg",Leonard's mother makes a visit to his dismay and Sheldon's delight.,8.4,2018,tt1558530,3,11
42,The Classified Materials Turbulence,2009,TV-14,04 May 2009,19 min,"Comedy, Romance",Mark Cendrowski,"Chuck Lorre (created by), Bill Prady (created by), Bill Prady (teleplay), Steven Molaro (teleplay), Chuck Lorre (story), Lee Aronsohn (story)","Johnny Galecki, Jim Parsons, Kaley Cuoco, Simon Helberg",Penny's second date with Stuart has significant implications for Leonard. Howard enlists the guys' help with one of his NASA projects.,8.4,1990,tt1256033,2,22
110,The Werewolf Transformation,2012,TV-14,23 Feb 2012,21 min,"Comedy, Romance",Mark Cendrowski,"Chuck Lorre (created by), Bill Prady (created by), Bill Prady (teleplay), Steven Molaro (teleplay), Jim Reynolds (teleplay), Maria Ferrari (teleplay), Chuck Lorre (story), Todd Craig (story), Gary Torvinen (story)","Johnny Galecki, Jim Parsons, Kaley Cuoco, Simon Helberg","Sheldon wreaks havoc when he tries to get a haircut from his regular barber, who is ill. Howard runs into a few problems with astronaut training.",8.4,1974,tt2238153,5,18
61,The Excelsior Acquisition,2010,TV-14,01 Mar 2010,21 min,"Comedy, Romance",Peter Chakos,"Chuck Lorre (created by), Bill Prady (created by), Bill Prady (teleplay), Steve Holland (teleplay), Maria Ferrari (teleplay), Chuck Lorre (story), Lee Aronsohn (story), Steven Molaro (story), Maria Ferrari (executive story editor)","Johnny Galecki, Jim Parsons, Kaley Cuoco, Simon Helberg",Sheldon misses an opportunity to get Stan Lee's autograph because he has to make an appearance in traffic court.,8.4,1971,tt1592080,3,16
